date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:32:33	39483/39483	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:32%20GMT	https://jaipurliteraturefestival.org/speaker/chigozie-obioma-4214&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/chigozie-obioma-4214&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:34	39708/39708	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:33%20GMT	https://jaipurliteraturefestival.org/speaker/pariksith-singh-4411&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/pariksith-singh-4411&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:34	39181/39181	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:33%20GMT	https://jaipurliteraturefestival.org/speaker/partho&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/partho&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:34	39304/39304	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:34%20GMT	https://jaipurliteraturefestival.org/speaker/vauhini-vara&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/vauhini-vara&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:35	39598/39598	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:34%20GMT	https://jaipurliteraturefestival.org/speaker/manisha-kulshreshtha-4385&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/manisha-kulshreshtha-4385&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:35	39364/39364	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:34%20GMT	https://jaipurliteraturefestival.org/speaker/gaur-gopal-das&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/gaur-gopal-das&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:36	39359/39359	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:35%20GMT	https://jaipurliteraturefestival.org/speaker/anita-bhatia&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/anita-bhatia&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:36	39375/39375	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:35%20GMT	https://jaipurliteraturefestival.org/speaker/saurabh-kirpal&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/saurabh-kirpal&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:37	39453/39453	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:36%20GMT	https://jaipurliteraturefestival.org/speaker/orlando-figes-4166&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/orlando-figes-4166&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:37	39335/39335	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:36%20GMT	https://jaipurliteraturefestival.org/speaker/katie-hickman-4164&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/katie-hickman-4164&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:37	39324/39324	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:36%20GMT	https://jaipurliteraturefestival.org/speaker/avay-shukla&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/avay-shukla&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:38	39490/39490	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:37%20GMT	https://jaipurliteraturefestival.org/speaker/helene-bukowski&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/helene-bukowski&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:38	41366/41366	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:37%20GMT	https://jaipurliteraturefestival.org/speaker/sudeep-sen-3799&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/sudeep-sen-3799&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:39	39560/39560	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:38%20GMT	https://jaipurliteraturefestival.org/speaker/michael-vatikiotis-4246&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/michael-vatikiotis-4246&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:39	39524/39524	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:38%20GMT	https://jaipurliteraturefestival.org/speaker/arjun-subramaniam&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/arjun-subramaniam&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:39	39282/39282	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:39%20GMT	https://jaipurliteraturefestival.org/speaker/ko-ko-thett&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/ko-ko-thett&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:40	39337/39337	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:39%20GMT	https://jaipurliteraturefestival.org/speaker/suman-keshari&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/suman-keshari&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:40	39451/39451	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:39%20GMT	https://jaipurliteraturefestival.org/speaker/indrani-baruah&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/indrani-baruah&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:41	39419/39419	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:40%20GMT	https://jaipurliteraturefestival.org/speaker/onyeka-nwelue-4325&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/onyeka-nwelue-4325&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:41	39284/39284	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:40%20GMT	https://jaipurliteraturefestival.org/speaker/sam-santhosh&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/sam-santhosh&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:42	39492/39492	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:41%20GMT	https://jaipurliteraturefestival.org/speaker/pavan-k-varma-4444&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/pavan-k-varma-4444&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:49	34357/34357	---MC-	302	error ('Found')	text/html	date:Thu,%2029%20Jun%202023%2007:02:48%20GMT	https://jaipurliteraturefestival.org/podcast?lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/podcastde64	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:50	224/224	---MC-	302	error ('Found')	text/html	date:Thu,%2029%20Jun%202023%2007:02:49%20GMT	https://jaipurliteraturefestival.org/arts.php	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/arts.php	(from https://jaipurliteraturefestival.org/festival-buzzaar?lg=hi)
